iata_id,airline,alias,icao,callsign,country,active
5M,Sibaviatrans,\N,SIB,SIBAVIA,Russia,Y
5N,Aeroflot-Nord,\N,AUL,DVINA,Russia,Y
5P,Pal airlines,,\N,,Chile,Y
5Q,BQB Lineas Aereas,Buquebus,\N,,Uruguay,Y
5T,Canadian North,\N,MPE,EMPRESS,Canada,Y
5V,Lviv Airlines,\N,UKW,UKRAINE WEST,Ukraine,N
5W,Astraeus,\N,AEU,FLYSTAR,United Kingdom,Y
5X,United Parcel Service,\N,UPS,UPS,United States,N
5Y,Atlas Air,\N,GTI,GIANT,United States,Y
5Z,Bismillah Airlines,\N,BML,BISMILLAH,Bangladesh,N
5Z,VivaColombia,,VVC,,Colombia,Y
6A,Consorcio Aviaxsa,\N,CHP,AVIACSA,Mexico,Y
6B,TUIfly Nordic,\N,BLX,BLUESCAN,Sweden,Y
6C,Vuela Cuba,Vuela Cuba,6CC,,Cuba,Y
6D,Pelita,,\N,,Indonesia,Y
6E,IndiGo Airlines,\N,IGO,IFLY,India,Y
6F,MAT Airways,,MKD,,Macedonia,Y
6G,Air Wales,\N,AWW,RED DRAGON,United Kingdom,Y
6H,Israir,\N,ISR,ISRAIR,Israel,Y
6I,International Business Air,\N,IBZ,INTERBIZ,Sweden,N
6I,Fly 6ix,,\N,,Sierra Leone,Y
6J,Skynet Asia Airways,\N,SNJ,NEWSKY,Japan,Y
6K,Asian Spirit,\N,RIT,ASIAN SPIRIT,Philippines,Y
6N,Nordic Regional,\N,NRD,NORTH RIDER,Sweden,N
6P,Club Air,\N,ISG,CLUBAIR,Italy,N
6P,Gryphon Airlines,,\N,,United States,Y
6Q,Slovak Airlines,\N,SLL,SLOV LINE,Slovakia,N
6R,Alrosa Mirny Air Enterprise,\N,DRU,MIRNY,Russia,Y
6T,Air Mandalay,,\N,Six Tango,Burma,Y
6U,Air Ukraine,\N,UKR,AIR UKRAINE,Ukraine,N
6U,Air Cargo Germany,,\N,Loadmaster,Germany,Y
6V,Air Vegas,\N,VGA,AIR VEGAS,United States,N
6V,Axis Airways,\N,AXY,AXIS,France,N
6V,Mars RK,\N,MRW,AVIAMARS,Ukraine,N
6V,Via Conectia Airlines,Via Conectia,CZV,,Uruguay,Y
6W,Saratov Aviation Division,\N,SOV,SARATOV AIR,Russia,Y
6Y,SmartLynx Airlines,,\N,,Latvia,Y
6Z,Ukrainian Cargo Airways,\N,UKS,CARGOTRANS,Ukraine,N
7A,Aztec Worldwide Airlines,\N,,,United States,N
7B,Krasnojarsky Airlines,\N,KJC,KRASNOJARSKY AIR,Russia,Y
7C,Jeju Air,\N,JJA,JEJU AIR,Republic of Korea,Y
7E,Aeroline GmbH,\N,AWU,SYLT-AIR,Germany,Y
7F,First Air,\N,FAB,,Canada,Y
7G,Star Flyer,\N,SFJ,STARFLYER,Japan,Y
7H,Era Alaska,,ERR,ERAH,United States,Y
